Date,AAPL,AMZN,COST,GOOGL,JPM,LMT,META,MSFT,MSTR,NFLX,NVDA,TSLA,TSM,XOM
2016-05-27,25.087499618530277,35.61199951171875,149.0800018310547,37.380001068115234,65.43000030517578,240.08999633789065,119.37999725341795,52.31999969482422,19.093000411987305,10.329999923706056,1.1475000381469729,14.869333267211914,24.799999237060547,90.01000213623047
2016-05-31,24.96500015258789,36.13949966430664,148.77000427246094,37.442501068115234,65.2699966430664,236.22999572753903,118.80999755859376,53.0,18.65399932861328,10.256999969482422,1.1679999828338623,14.881999969482422,24.71999931335449,89.0199966430664
2016-06-01,24.614999771118164,35.97200012207031,152.52000427246094,37.42300033569336,65.69000244140625,238.0800018310547,118.77999877929688,52.849998474121094,18.64699935913086,10.151000022888184,1.1702500581741333,14.637332916259766,25.25,89.23999786376953
2016-06-02,24.43000030517578,36.4119987487793,151.50999450683594,37.2135009765625,65.80999755859375,237.8300018310547,118.93000030517578,52.47999954223633,19.06999969482422,10.125,1.178500056266785,14.597332954406738,25.18000030517578,88.52999877929688
2016-06-03,24.479999542236328,36.277000427246094,151.7100067138672,36.792999267578125,64.63999938964844,238.9199981689453,118.47000122070312,51.790000915527344,18.86899948120117,9.958999633789062,1.1619999408721924,14.599332809448242,25.530000686645508,88.37000274658203
2016-06-06,24.65749931335449,36.33649826049805,152.24000549316406,36.50299835205078,65.27999877929688,239.3999938964844,118.79000091552734,52.130001068115234,19.47100067138672,10.074000358581545,1.156000018119812,14.711999893188477,25.46999931335449,89.33999633789062
2016-06-07,24.75749969482422,36.1870002746582,152.6199951171875,36.554500579833984,65.05999755859375,239.5,117.76000213623048,52.099998474121094,19.38800048828125,9.98900032043457,1.1582499742507937,15.489333152770996,26.059999465942383,90.70999908447266
2016-06-08,24.73500061035156,36.33200073242188,153.3699951171875,37.14649963378906,65.25,240.3800048828125,118.38999938964844,52.040000915527344,19.229999542236328,9.78600025177002,1.1545000076293943,15.701333045959473,26.32999992370605,90.79000091552734
2016-06-09,24.912500381469727,36.38249969482422,154.0500030517578,37.1259994506836,64.75,240.6699981689453,118.55999755859376,51.619998931884766,19.208999633789062,9.708999633789062,1.184499979019165,15.290666580200195,26.229999542236328,90.66999816894533
2016-06-10,24.707500457763672,35.89550018310547,154.8699951171875,36.65950012207031,63.84000015258789,240.5800018310547,116.62000274658205,51.47999954223633,18.775999069213867,9.375,1.1549999713897705,14.586000442504885,25.86000061035156,89.9800033569336
2016-06-13,24.334999084472656,35.762001037597656,154.9499969482422,36.59400177001953,63.27000045776367,237.9499969482422,113.9499969482422,50.13999938964844,18.631999969482425,9.385000228881836,1.1697499752044678,14.524666786193848,25.6299991607666,90.58999633789062
2016-06-14,24.364999771118164,35.96500015258789,155.8699951171875,36.66249847412109,62.08000183105469,239.6999969482422,114.94000244140624,49.83000183105469,18.549999237060547,9.411999702453612,1.1720000505447388,14.330666542053224,25.56999969482422,90.43000030517578
2016-06-15,24.28499984741211,35.7130012512207,154.86000061035156,36.609500885009766,61.970001220703125,239.4499969482422,114.5999984741211,49.689998626708984,18.48600006103516,9.428999900817873,1.184000015258789,14.513333320617676,25.84000015258789,90.16000366210938
