Date,DAX,DOW,FTSE,HSI,IWM,NIKKEI,QQQ,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2023-12-22,16706.1796875,37385.96875,7697.5,16340.41015625,201.47999572753906,33169.05078125,408.3800048828125,473.6499938964844,42.79999923706055,72.61000061035156,42.4900016784668,37.34000015258789,113.12999725341797,96.0250015258789,71.22000122070312,39.72999954223633,31.309999465942383,135.02000427246094,89.73999786376953
2023-12-25,16706.1796875,37385.96875,7697.5,16340.41015625,201.47999572753906,33254.03125,408.3800048828125,473.6499938964844,42.79999923706055,72.61000061035156,42.4900016784668,37.34000015258789,113.12999725341797,96.0250015258789,71.22000122070312,39.72999954223633,31.309999465942383,135.02000427246094,89.73999786376953
2023-12-26,16706.1796875,37545.328125,7697.5,16340.41015625,204.10000610351562,33305.8515625,410.8800048828125,475.6499938964844,43.0,72.88999938964844,42.85499954223633,37.4900016784668,113.93000030517578,96.42500305175781,71.5199966430664,40.02000045776367,31.5,135.32000732421875,90.12000274658203
2023-12-27,16742.0703125,37656.51953125,7725.0,16624.83984375,204.82000732421875,33681.23828125,411.5,476.510009765625,43.10499954223633,72.9000015258789,42.665000915527344,37.61000061035156,114.0999984741211,96.41999816894531,71.8499984741211,40.25,31.479999542236328,135.88999938964844,90.43000030517578
2023-12-28,16701.55078125,37710.1015625,7722.7001953125,17043.529296875,204.0399932861328,33539.62109375,411.29998779296875,476.69000244140625,42.939998626708984,73.0999984741211,42.01499938964844,37.720001220703125,114.12999725341797,96.53500366210938,71.87999725341797,40.5,31.704999923706055,136.24000549316406,89.95999908447266
2023-12-29,16751.640625,37689.5390625,7733.2001953125,17047.390625,200.7100067138672,33464.171875,409.5199890136719,475.30999755859375,42.77000045776367,72.66000366210938,41.91999816894531,37.599998474121094,113.98999786376953,96.23999786376953,72.02999877929688,40.060001373291016,31.665000915527344,136.3800048828125,89.40499877929688
2024-01-02,16769.359375,37715.0390625,7721.5,16788.55078125,199.52000427246094,33464.171875,402.5899963378906,472.6499938964844,42.69499969482422,72.25,42.369998931884766,37.7599983215332,112.83999633789062,93.72000122070312,72.83999633789062,40.43000030517578,32.125,138.77999877929688,88.57499694824219
2024-01-03,16538.390625,37430.19140625,7682.2998046875,16646.41015625,194.1999969482422,33464.171875,398.3299865722656,468.7900085449219,42.23500061035156,71.9800033569336,43.060001373291016,37.439998626708984,111.16000366210938,92.76499938964844,72.2699966430664,39.470001220703125,32.244998931884766,138.5500030517578,86.78500366210938
2024-01-04,16617.2890625,37440.33984375,7723.10009765625,16645.98046875,193.82000732421875,33288.2890625,396.2799987792969,467.2799987792969,42.099998474121094,71.73999786376953,42.30500030517578,37.59000015258789,111.30000305175781,92.08499908447266,72.16999816894531,39.369998931884766,32.14500045776367,139.24000549316406,86.17500305175781
2024-01-05,16594.2109375,37466.109375,7689.60009765625,16535.330078125,193.25,33377.421875,396.75,467.9200134277344,42.16999816894531,72.04000091552734,42.34000015258789,37.75,111.43000030517578,92.05999755859375,72.01000213623047,39.290000915527344,32.26499938964844,139.1199951171875,86.30999755859375
2024-01-08,16716.470703125,37683.01171875,7694.2001953125,16224.4501953125,196.72999572753906,33377.421875,404.95001220703125,474.6000061035156,42.349998474121094,73.16000366210938,41.849998474121094,37.9900016784668,112.16000366210938,94.37000274658203,72.54000091552734,39.83000183105469,32.5,140.35000610351562,87.77999877929688
2024-01-09,16688.359375,37525.16015625,7684.0,16190.01953125,194.97000122070312,33763.1796875,405.75,473.8800048828125,41.8650016784668,73.01000213623047,41.18000030517578,37.75,111.80999755859375,94.5199966430664,72.7300033569336,39.54999923706055,32.23500061035156,140.3300018310547,87.45500183105469
2024-01-10,16689.810546875,37695.73046875,7651.7998046875,16097.2802734375,195.0800018310547,34441.71875,408.5,476.55999755859375,41.810001373291016,73.69000244140625,40.775001525878906,37.810001373291016,112.37999725341797,95.32499694824219,72.58000183105469,39.61000061035156,32.22999954223633,140.97000122070312,88.15499877929688
2024-01-11,16547.029296875,37711.01953125,7576.60009765625,16302.0400390625,193.5500030517578,35049.859375,409.3500061035156,476.3500061035156,41.685001373291016,73.44999694824219,40.880001068115234,37.66999816894531,112.12000274658203,95.80999755859375,72.56999969482422,39.2400016784668,31.479999542236328,140.8699951171875,88.04000091552734
2024-01-12,16704.560546875,37592.98046875,7624.89990234375,16244.580078125,193.22999572753906,35577.109375,409.55999755859375,476.67999267578125,41.724998474121094,73.80999755859375,41.34000015258789,37.599998474121094,112.11000061035156,96.12000274658203,72.80000305175781,39.540000915527344,31.65999984741211,140.52000427246094,86.9800033569336
2024-01-15,16622.220703125,37592.98046875,7594.89990234375,16216.330078125,193.22999572753906,35901.7890625,409.55999755859375,476.67999267578125,41.724998474121094,73.80999755859375,41.34000015258789,37.599998474121094,112.11000061035156,96.12000274658203,72.80000305175781,39.540000915527344,31.65999984741211,140.52000427246094,86.9800033569336
